162112	162112012	BAJANG
162020	162020019	BAJANGAN
160109	160109004	BAJEMAN
140725	140725001	Bajingkulon
142014	142014002	Bajong
162307	162307007	BAJRASOKAH
161604	161604001	BAJULAN
161208	161208001	BAJULAN
160217	160217009	BAJULMATI
161911	161911002	BAJUR
160519	160519011	BAJURAN
160810	160810019	BAKALAN
160923	160923005	BAKALAN
162010	162010005	BAKALAN
161502	161502010	BAKALAN
161413	161413004	BAKALAN
160403	160403011	BAKALAN
160408	160408011	BAKALAN
160422	160422021	BAKALAN
163603	163603002	BAKALAN
163402	163402006	BAKALAN KRAJAN
162418	162418008	BAKALAN WRINGINPITU
161014	161014009	BAKALANPULE
160817	160817003	BAKALANRAYUNG
161007	161007011	BAKALREJO
162611	162611001	BAKEYONG
160413	160413005	BAKULAN
160418	160418007	BAKUNG
162418	162418019	BAKUNG PRINGGODANI
162418	162418003	BAKUNG TEMENGGUNGAN
160212	160212005	BAKUNGAN
161214	161214004	BAKUR
420107	420107001	Bala Raja
120717	120717010	BALAD
160211	160211002	BALAK
163813	163813001	BALAS KLUMPRIK
161415	161415002	BALEARJO
163404	163404011	BALEARJOSARI
161309	161309009	BALEASRI
162004	162004007	BALEDONO
120117	120117004	Baleendah
120605	120605010	BALEGEDE
161309	161309007	BALEGONDO
161804	161804008	BALEHARJO
120422	120422007	BALEKAMBANG
160420	160420013	BALENREJO
120916	120916001	Baleraja
120718	120718003	BALERANTE
161306	161306003	BALEREJO
161212	161212002	BALEREJO
161201	161201012	BALEREJO
162916	162916004	BALEREJO
161419	161419008	BALESARI
162909	162909001	BALESONO
160727	160727004	BALET BARU
161607	161607006	BALETURI
160617	160617011	BALIKTERUS
121901	121901004	Balokang
162112	162112013	BALONG
161619	161619007	BALONG ASEM
160804	160804019	BALONG BESUK
161612	161612013	BALONG GEBANG
161614	161614015	BALONG PACUL
162418	162418015	BALONGBENDO
160415	160415023	BALONGCABE
160416	160416007	BALONGDOWO
162407	162407005	BALONGDOWO
162407	162407004	BALONGGABUS
162403	162403019	BALONGGARUT
160814	160814007	BALONGGEMEK
160915	160915005	BALONGJERUK
162401	162401015	BALONGMACEKAN
161506	161506014	BALONGMASIN
161512	161512012	BALONGMOJO
160606	160606003	BALONGMOJO
160607	160607016	BALONGPANGGANG
161603	161603015	BALONGREJO
161615	161615001	BALONGREJO
160414	160414016	BALONGREJO
161515	161515010	BALONGSARI
160814	160814003	BALONGSARI
163502	163502004	BALONGSARI
163816	163816007	BALONGSARI
162405	162405008	BALONGTANI
160606	160606002	BALONGTUNJUNG
161014	161014003	BALONGWANGI
161513	161513015	BALONGWONO
163202	163202015	BALOWERTI
161315	161315013	BALUK
161019	161019005	BALUN
160113	160113005	BALUNG
162508	162508005	BALUNG
162024	162024004	BALUNG ANYAR
160713	160713005	BALUNG KIDUL
160713	160713004	BALUNG KULON
160713	160713006	BALUNG LOR
161012	161012009	BALUNGTAWUN
161019	161019008	BAMBANG
161411	161411003	BAMBANG
160602	160602004	BAMBE
162614	162614007	BANA SARE
162713	162713006	BANARAN
